,w0,w1,w2,median,mean
501,bring,clasp,mowth,4.0,9.004
502,updry,wonts,belch,4.0,8.691
503,chold,yeans,mujik,5.0,10.464
504,bidet,spung,arock,3.0,6.52
505,bidet,jough,marly,5.0,9.773
506,thewy,cujam,glisk,6.0,16.263
507,drame,whilk,young,5.0,11.548
508,tucks,admix,owler,4.0,8.294
509,dumby,coven,girth,5.0,11.025
510,flipe,vouch,tanzy,7.0,15.633
511,cupay,howks,linge,5.0,10.93
512,pleck,dryth,woman,5.0,12.047
513,dioxy,thurm,fakes,5.0,10.309
514,bruet,chold,wigan,3.0,7.943
515,bunty,sower,chiam,3.0,6.119
516,jough,typer,limns,4.0,8.86
517,droyl,cites,whang,3.0,6.068
518,aking,poled,chums,3.0,6.877
519,flipe,whams,gront,4.0,7.5
520,tayer,whisk,fungo,5.0,10.286
521,pleck,rough,swift,5.0,12.726
522,sword,butch,angel,4.0,7.021
523,mourn,cawky,sithe,3.0,7.154
524,sangh,cured,mobil,2.0,4.862
525,zinky,vomer,scaut,5.0,9.241
526,axled,stump,chron,3.0,6.678
527,slonk,echar,mixup,5.0,10.618
528,jimbo,neaps,trudy,4.0,8.853
529,dryth,mizen,balow,5.0,9.533
530,plomb,venta,scurf,4.0,7.587
531,seqwl,ponga,rutic,4.0,8.39
532,wudge,harbi,potsy,4.0,8.509
533,mutch,soign,apery,3.0,7.836
534,jocum,apery,vingt,6.0,15.279
535,funks,cylix,abode,6.0,14.187
536,rotes,cumal,windz,3.0,5.935
537,kivas,burez,dompt,5.0,10.196
538,foxed,nacry,milks,4.0,8.341
539,molpe,junky,archt,5.0,10.819
540,prahu,noble,swift,4.0,7.789
541,dumby,koali,shewn,4.0,9.883
542,waget,dumby,loxic,7.0,14.415
543,zygon,jacks,bifer,7.0,17.161
544,lunch,apism,voder,4.0,7.05
545,hasky,fique,clown,7.0,18.477
546,browd,upget,fancy,5.0,11.627
547,vouch,seqwl,brand,7.0,14.215
548,chazy,duvet,slorp,5.0,11.939
549,ganch,boule,tripy,4.0,7.158
550,duvet,wishy,angor,5.0,10.535
551,mutch,weird,azoxy,8.0,21.409
552,flump,cathy,brigs,5.0,10.11
553,sword,haute,cylix,4.0,8.157
554,grise,alkyd,mowth,4.0,8.749
555,zinky,mopla,buret,4.0,8.701
556,grank,chold,wefty,5.0,14.366
557,sabik,decyl,jough,6.0,13.507
558,quags,liken,dompt,4.0,8.1
559,kisan,thurm,dowve,4.0,8.674
560,flegm,adrop,unbit,5.0,10.948
561,drest,ophic,namby,4.0,6.989
562,poult,windz,garse,4.0,6.979
563,vouch,ripes,waltz,4.0,9.572
564,rinka,desyl,mowth,3.0,7.033
565,buret,wands,loxic,3.0,5.666
566,spung,blier,mowth,4.0,7.77
567,senza,yogic,thurm,5.0,9.175
568,azons,xyrid,belch,5.0,9.549
569,torcs,weald,mujik,4.0,7.273
570,jacks,volte,xyrid,6.0,10.552
571,wheft,drona,mixup,7.0,16.563
572,zygon,flare,chits,4.0,9.173
573,stump,linha,gyred,3.0,5.761
574,fogas,thewy,mucin,5.0,11.379
575,alces,dioxy,thurm,4.0,7.357
576,noter,quack,filmy,5.5,11.549
577,coypu,skied,waltz,5.0,10.495
578,yogic,wheft,aldus,6.0,11.651
579,tsked,fungo,chiam,5.0,10.383
580,browd,clink,phase,4.0,9.121
581,lanch,robed,swift,4.0,6.228
582,whaup,corks,veily,5.0,11.275
583,flump,whing,boser,6.0,12.123
584,pleck,quags,windz,8.0,20.817
585,ambry,whilk,fungo,7.0,21.404
586,aclys,piton,burez,3.0,5.696
587,skiwy,burez,dompt,6.0,11.531
588,world,kvint,juyas,6.0,11.454
589,wurly,chief,toads,4.0,6.897
590,whaur,limns,pocky,4.0,10.171
591,poled,jacks,nifty,4.0,8.191
592,wurly,scote,kinah,3.0,6.11
593,agend,whort,sculp,4.0,8.398
594,locks,thewy,arzun,5.0,10.509
595,wurly,monic,gapes,3.0,6.234
596,junky,while,stomp,6.0,15.38
597,milky,crowd,upset,4.0,8.064
598,cumal,bring,jowed,5.0,12.566
599,duvet,pocky,sabzi,7.0,14.106
600,serin,alkyd,butch,3.0,5.565
601,senza,lowth,xyrid,5.0,9.737
602,sneck,mixup,hoary,5.0,11.944
603,bunks,decyl,harim,3.0,6.215
604,maugh,nifty,jowed,9.0,17.762
605,wudge,flory,chiam,5.0,13.459
606,chazy,wudge,piton,6.0,18.51
607,zinky,plomb,avert,6.0,13.394
608,vouch,afret,kilns,3.0,6.531
609,pedro,kilns,cujam,4.0,8.207
610,pleck,dungy,forma,5.0,11.972
611,milky,stope,whang,4.0,9.337
612,stomp,dylan,vergi,3.0,6.403
613,whisk,funje,azoxy,15.0,39.927
614,jocum,nerts,gilpy,4.0,6.965
615,lythe,fungo,apism,4.0,10.986
616,flump,drisk,tanzy,5.0,11.262
617,slonk,mutch,girba,3.0,7.514
618,wring,butch,lakey,5.0,9.562
619,orbic,meath,spung,3.0,7.79
620,milky,afret,spung,3.0,6.731
621,updry,amlet,chino,4.0,6.687
622,chego,kilns,ambry,4.0,7.454
623,dungy,plomb,vetch,7.0,16.956
624,skiwy,dujan,belch,6.0,14.583
625,dives,butch,angry,4.0,7.919
626,fixup,yokes,brahm,8.0,15.436
627,bogus,marid,whelk,4.0,7.459
628,ahint,sorex,lucky,3.0,7.018
629,depth,kilns,azoxy,5.0,11.276
630,upget,chins,volar,3.0,6.073
631,limbs,track,dowve,4.0,7.813
632,ducat,exing,frowy,7.0,17.442
633,dryth,mains,vogue,4.0,6.805
634,unbed,lowth,kivas,5.0,9.764
635,updry,kiang,hosel,4.0,7.434
636,admix,prowl,junky,10.0,25.277
637,mobil,trudy,sneck,4.0,6.894
638,tucks,herby,inoma,3.0,8.831
639,xylem,arist,jough,6.0,12.461
640,wudge,torch,flips,4.0,9.61
641,pours,thewy,vinal,4.0,8.304
642,girba,money,sculp,3.0,6.171
643,maugh,winks,extol,5.0,11.923
644,dives,mount,hyrax,4.0,7.81
645,rough,dives,tanzy,5.0,9.407
646,unbed,trixy,fogas,5.0,10.232
647,plomb,senza,trudy,4.0,7.44
648,denim,alogy,scurf,3.0,7.392
649,dumby,roist,glave,3.0,8.168
650,pleck,tough,mandi,4.0,9.339
651,pleck,irous,bandy,3.0,7.002
652,funks,vetch,loxia,6.0,14.206
653,limpy,vogue,brand,4.0,10.723
654,gyred,kosha,mixup,5.0,13.289
655,lacey,kingu,stomp,4.0,6.698
656,argol,dumby,winks,4.0,10.006
657,caids,north,flype,3.0,5.278
658,flump,weigh,nacry,6.0,13.446
659,winks,omlah,crude,3.0,6.572
660,vomer,gnaws,fixup,8.0,17.083
661,mujik,volte,brand,5.0,10.668
662,zinky,swart,belch,4.0,9.573
663,tripy,kosha,funje,5.0,11.825
664,crowd,stang,elymi,4.0,7.393
665,speil,hocky,brand,4.0,7.689
666,journ,flips,caked,4.0,8.065
667,wilts,ambry,funje,4.0,9.363
668,quack,frowy,vised,9.0,22.07
669,flump,nicer,toads,3.0,4.991
670,crowd,linha,sumpt,3.0,7.254
671,dunts,khmer,alogy,3.0,6.078
672,plomb,weigh,tacks,4.0,9.013
673,pleck,bhuts,doina,3.0,7.067
674,gilpy,braze,funks,6.0,11.879
675,night,quave,frowy,10.0,23.057
676,girls,hound,featy,3.0,6.079
677,marid,spung,belch,3.0,5.747
678,zygon,kails,butch,5.0,12.043
679,bidet,coypu,shawm,5.0,9.612
680,dante,whisk,vogul,5.0,9.455
681,adrop,junky,whils,5.0,11.825
682,mizen,prowl,tacks,3.0,6.506
683,vouch,wring,flype,7.0,22.195
684,teind,comby,graph,4.0,7.897
685,mutch,nawob,vergi,7.0,14.504
686,sword,vetch,aubin,4.0,8.491
687,butch,dioxy,earls,4.0,7.442
688,wring,hocky,alums,5.0,10.977
689,hynde,artou,glisk,4.0,7.232
690,comby,narks,weigh,5.0,9.298
691,whame,corks,lupid,4.0,7.348
692,drubs,flype,vingt,5.0,11.518
693,yerga,funks,loxic,5.0,10.608
694,lovat,drubs,exing,4.0,8.889
695,whang,mures,loxic,4.0,8.151
696,admix,locks,funje,7.0,15.826
697,tucks,dowie,brahm,3.0,6.84
698,ylems,jatni,vouch,5.0,10.967
699,twiny,prahu,fodge,5.0,13.174
700,axled,prunt,comby,4.0,9.044
701,xylem,winks,fagot,6.0,12.191
702,woken,alifs,thurm,4.0,7.105
703,axled,skiwy,mourn,5.0,9.398
704,sword,butch,filmy,5.0,13.071
705,tombs,dylan,vergi,3.0,5.94
706,jocum,alvin,wefty,8.0,18.738
707,stump,linge,cawky,4.0,8.323
708,cupay,night,orsel,3.0,5.908
709,wogul,ambry,sithe,3.0,7.313
710,meant,drubs,pocky,4.0,6.833
711,bunks,perty,clavi,3.0,6.576
712,shoed,marly,vingt,3.0,5.035
713,sixmo,bunty,weald,5.0,9.711
714,stagy,whirl,bunce,3.0,7.549
715,zohak,stump,deriv,6.0,12.044
716,algum,dover,whisk,6.0,11.419
717,hynde,wogul,arist,4.0,7.684
718,comby,grint,haldu,4.0,8.976
719,rinka,wogul,hefts,4.0,7.851
720,aspic,thurm,envoy,4.0,10.733
721,lucky,girth,jowed,7.0,14.753
722,bunts,ochry,azide,5.0,9.157
723,windz,gopak,clubs,7.0,16.282
724,ganch,flory,mixup,8.0,17.625
725,scrab,liken,dompt,3.0,4.623
726,herbs,cujam,nifty,4.0,10.528
727,comby,twank,dulse,4.0,9.73
728,zygon,mujik,brave,12.0,31.081
729,dumby,whirl,aztec,6.0,13.774
730,cupay,tirls,fodge,3.0,5.807
731,lucky,aroid,shewn,4.0,8.007
732,axled,comby,kvint,6.0,15.902
733,gaums,kvint,jowed,7.0,13.496
734,pours,atwin,belch,3.0,6.335
735,bacon,gilpy,wheft,6.0,13.1
736,orbic,dunts,lakey,3.0,5.147
737,coran,bytes,whilk,3.0,6.181
738,pleck,whams,inorg,4.0,9.589
739,girse,junky,waltz,6.0,11.924
740,clint,sword,aevum,4.0,6.548
741,jimbo,heavy,funks,9.0,22.808
742,braze,clown,mixup,7.0,16.265
743,coypu,vergi,shawm,7.0,15.571
744,hynde,stump,arock,4.0,7.824
745,copis,wheft,arzun,5.0,10.936
746,minow,gyred,clubs,4.0,7.434
747,uredo,whisk,albyn,4.0,11.314
748,pucka,owler,night,4.0,9.337
749,coypu,afret,whilk,5.0,12.269
750,lowth,cuing,brave,5.0,11.429
751,dungy,khmer,altos,3.0,5.941
752,fator,bunce,glisk,3.0,6.497
753,pleck,mandi,whort,3.0,8.62
754,meows,cylix,brand,4.0,8.022
755,exact,world,funks,5.0,10.18
756,flump,twain,crose,4.0,7.571
757,angry,ejido,clubs,5.0,10.951
758,mayed,piton,slurb,3.0,4.923
759,butch,nizey,lards,3.0,6.234
760,browd,fique,glans,6.0,12.331
761,zinky,wogul,tread,5.0,12.505
762,zinky,fetas,wogul,6.0,13.199
763,amowt,junky,dives,7.0,15.528
764,jough,windz,trace,8.0,18.32
765,lucky,vingt,heaps,4.0,9.191
766,mourn,sidth,glave,3.0,6.16
767,grosz,cupay,whelm,6.0,16.963
768,daren,comby,swift,4.0,6.385
769,fixup,sneck,mowth,9.0,24.521
770,wurly,gopak,vised,5.0,11.137
771,journ,admix,wefty,9.0,20.862
772,kiang,lucre,potsy,3.0,6.313
773,mobil,trudy,whang,5.0,11.009
774,yapon,felid,thurm,4.0,8.195
775,clink,sumpt,azoxy,6.0,15.923
776,fasti,vomer,junky,6.0,11.863
777,whams,cylix,toner,4.0,6.718
778,uncow,ahmed,glisk,5.0,10.238
779,bandi,upget,corks,3.0,5.659
780,regna,pocky,swift,5.0,9.804
781,penta,mujik,ochry,6.0,15.77
782,prunt,fogas,elymi,4.0,7.957
783,mizen,bocks,whalp,5.0,12.363
784,zygon,depth,slurb,5.0,10.974
785,tucks,ambry,ejido,5.0,12.285
786,gunda,jives,ochry,6.0,14.238
787,comby,rivel,twang,5.0,9.52
788,drops,mincy,waltz,4.0,7.515
789,jocum,brise,waltz,6.0,11.815
790,whelk,mount,ascry,4.0,9.838
791,flips,chego,dujan,5.0,12.741
792,pucka,nerts,mobil,2.0,4.977
793,warly,fodge,mixup,6.0,15.656
794,dumby,jatni,shore,4.0,7.415
795,jocum,weals,nifty,5.0,10.892
796,xylem,nawob,sidth,5.0,9.212
797,bogus,whelk,fancy,5.0,13.053
798,dryth,ginep,balow,4.0,7.645
799,crowd,tanzy,milks,4.0,8.343
800,flory,mucid,swank,5.0,11.838
801,ovary,whelk,mixup,11.0,26.29
802,journ,filmy,chape,5.0,12.852
803,sabik,mutch,loped,4.0,7.553
804,beard,lochs,twiny,3.0,5.995
805,corta,seqwl,kingu,4.0,7.883
806,prunt,limbs,foxed,4.0,8.149
807,mayed,torch,glisk,3.0,5.714
808,skiwy,jough,arend,7.0,16.196
809,shute,prowl,mincy,3.0,6.992
810,comby,raged,wilts,3.0,5.542
811,angry,chums,bited,3.0,6.574
812,milky,rotes,whaup,4.0,7.596
813,mopla,grewt,junky,6.0,15.902
814,ovary,windz,hefts,6.0,14.625
815,topsl,fancy,deriv,3.0,6.033
816,balks,vetch,inorg,4.0,6.541
817,wicks,hound,flype,5.5,13.534
818,windz,lapse,routh,4.0,7.831
819,fixup,chold,swank,7.0,20.907
820,flegm,trows,bandy,4.0,7.457
821,updry,whame,bilos,4.0,8.726
822,whalp,durst,nizey,4.0,8.468
823,abuts,flory,exing,5.0,11.18
824,xylem,fakir,wonts,5.0,9.175
825,chazy,extol,funks,7.0,20.527
826,bring,lucky,ashot,4.0,9.272
827,brunt,yameo,whils,4.0,6.01
828,pucka,tirls,fodge,3.0,6.287
829,mutch,drops,alife,3.0,6.849
830,btise,droyl,whang,4.0,7.817
831,sutra,whilk,coden,3.0,5.406
832,waget,droil,funks,3.0,6.149
833,stump,droyl,exing,5.0,10.442
834,torch,junky,vised,6.0,12.374
835,depth,argol,funks,3.0,6.67
836,seqwl,tabor,mujik,6.0,12.282
837,unlet,graph,dioxy,4.0,9.724
838,ganch,wefty,mixup,10.0,22.337
839,track,wogul,besin,4.0,7.267
840,swile,junky,forma,6.0,10.571
841,chazy,tsked,mixup,8.0,20.796
842,track,hound,flype,4.0,9.142
843,grank,desyl,mowth,4.0,8.612
844,uncow,gilpy,bates,4.0,7.681
845,depth,fungo,saily,3.0,6.528
846,depth,rinka,mouls,3.0,5.057
847,wicks,rough,namby,5.0,10.907
848,grewt,fancy,milks,4.0,7.288
849,caked,whort,limns,3.0,5.124
850,slonk,whaup,bifer,5.0,9.431
851,hynde,pours,clavi,4.0,8.108
852,yours,whale,kvint,4.0,9.172
853,hajib,grots,wyled,5.0,8.29
854,dungy,wares,loxic,4.0,8.09
855,mopla,bunce,xyrid,5.0,10.253
856,mayed,wilts,chron,3.0,4.57
857,balks,night,crude,3.0,5.197
858,richt,mouls,bandy,3.0,5.397
859,hives,xylon,cujam,7.0,16.577
860,adult,yogic,kerns,3.0,5.296
861,grewt,hocky,dials,4.0,7.765
862,junky,thrip,glave,6.0,14.149
863,hajib,droyl,upset,4.0,8.094
864,poult,ahmed,brigs,3.0,5.489
865,fains,herby,dompt,3.0,5.817
866,meath,junky,soldi,5.0,8.618
867,dumby,howks,antic,5.0,12.626
868,whelk,bring,dauts,4.0,7.013
869,lowth,quips,namby,5.0,12.832
870,pleck,bandi,thurm,5.0,8.339
871,spung,lexic,tarok,4.0,7.099
872,dungy,flare,stomp,3.0,7.244
873,robed,mutch,glans,3.0,5.544
874,flegm,boist,hyrax,5.0,10.831
875,flegm,cawky,drubs,6.0,13.983
876,lowth,gyred,sabzi,4.0,9.011
877,agnus,droil,tyche,3.0,5.516
878,duvet,mobil,cawky,6.0,12.832
879,budge,waltz,ochry,6.5,14.386
880,adzer,young,chits,4.0,8.262
881,flota,punce,xyrid,4.0,9.658
882,ganch,perty,kudos,3.0,6.743
883,jocum,walty,deriv,6.0,12.374
884,lucky,brave,dompt,5.0,11.698
885,reina,dompt,clubs,3.0,4.28
886,zygon,rutic,ahmed,5.0,11.326
887,dungy,limbs,ofter,4.0,8.175
888,phren,filmy,dauts,3.0,4.907
889,topsl,windz,quave,7.0,16.543
890,flump,sower,bandy,4.0,8.218
891,cried,spung,waltz,4.0,6.933
892,hasky,crowd,fixup,9.0,22.418
893,flegm,pisco,bantu,4.0,8.437
894,chazy,worse,fixup,9.0,24.749
895,bocks,updry,twang,5.0,11.677
896,fitly,wrong,zaxes,6.0,11.036
897,flipe,darky,tombs,3.0,5.835
898,seqwl,bigha,pocky,8.0,18.658
899,dryth,meows,aking,4.0,8.382
900,slorp,thave,mujik,4.0,10.799
901,whing,tucks,azoxy,10.5,27.769
902,hasky,duvet,bring,4.0,9.288
903,alvus,thewy,inorg,5.0,9.219
904,zinky,quest,boral,5.0,10.63
905,amowt,linge,scurf,3.0,7.066
906,vouch,walty,brise,4.0,9.15
907,donet,hylas,mixup,4.0,7.843
908,ducat,plomb,wries,3.0,5.279
909,quack,moler,swift,5.0,11.083
910,jocum,braze,whils,6.0,14.973
911,depth,molar,cuing,3.0,6.645
912,world,chief,antum,4.0,8.389
913,lanch,duvet,brigs,3.0,5.939
914,sabzi,flype,chron,5.0,8.864
915,unlet,wishy,forma,4.0,7.053
916,coypu,whilk,anger,5.0,11.957
917,bhuts,domal,vergi,3.0,6.954
918,poult,skiwy,adzer,5.0,9.464
919,bhuts,arend,loxic,3.0,7.101
920,jocum,senza,girth,5.0,10.154
921,stump,fancy,deriv,4.0,7.459
922,lupin,howks,ardeb,4.0,6.871
923,thrip,vogul,fakes,4.0,8.028
924,dumby,twank,pisco,5.0,12.478
925,whirl,namby,copse,4.0,7.308
926,dungy,flips,atoke,4.0,8.634
927,coble,updry,wigan,5.0,9.519
928,uncow,tripy,begad,5.0,10.866
929,dungy,lowth,braze,5.0,13.849
930,girds,thewy,onlap,3.0,6.653
931,xylem,bigha,torcs,4.0,7.84
932,comby,windz,farse,5.0,12.487
933,dumby,hives,gopak,6.0,13.511
934,maugh,drops,wetly,3.0,6.738
935,zygon,whirl,upset,6.0,12.132
936,hadnt,mujik,frowy,8.0,19.09
937,bunty,whisk,clove,5.0,13.348
938,bring,wheft,kolas,4.0,8.767
939,odist,punce,marly,3.0,4.896
940,wicks,flota,herby,4.0,9.959
941,browd,plait,junky,6.0,14.257
942,twank,pisco,burez,5.0,9.681
943,bhuts,fload,imper,3.0,6.478
944,dumby,laics,toner,3.0,4.321
945,admit,elops,junky,5.0,10.467
946,limbs,torch,agend,3.0,4.85
947,dunts,orkey,hibla,3.0,5.762
948,omlah,wiper,funks,5.0,8.657
949,twank,crose,mixup,5.0,11.219
950,jocum,venta,wishy,7.0,19.558
951,bocks,thewy,mixup,8.0,21.489
952,whing,upset,azoxy,10.0,20.746
953,trixy,punce,goads,4.0,8.646
954,peart,bunks,loxic,3.0,6.617
955,flump,windz,torcs,6.0,11.247
956,flump,woken,ascry,5.0,10.767
957,leaky,piton,scurf,3.0,6.75
958,graph,wefty,bilos,4.0,8.96
959,algum,coiny,herbs,3.0,6.457
960,flips,young,chave,6.0,13.909
961,whing,pedro,jacks,6.0,12.018
962,uptie,whang,corks,3.0,8.283
963,skiwy,noter,cumal,3.0,5.552
964,unark,depth,viols,3.0,6.424
965,bagne,sculp,xyrid,4.0,7.656
966,wogul,reach,nifty,5.0,10.406
967,unbed,pahos,cylix,4.0,9.163
968,wheft,daisy,vogul,6.0,13.867
969,amowt,lunch,gyred,5.0,10.389
970,bidet,alvus,pocky,5.0,9.183
971,hajib,upget,frowy,8.0,19.615
972,fixup,alkyd,toner,5.0,11.809
973,girls,manet,pocky,2.0,4.63
974,gruis,whelm,vocat,4.0,7.58
975,dover,agist,lunch,3.0,6.439
976,wyled,pours,kvint,4.0,8.691
977,budge,jatni,hocky,6.0,15.588
978,pucka,whelm,soign,5.0,12.971
979,poser,alkyd,cuing,3.0,7.446
980,flump,geisa,chron,4.0,8.75
981,tread,nowch,filmy,4.0,9.494
982,mutch,index,argos,4.0,9.024
983,dumby,rents,loxic,4.0,7.71
984,squet,whirl,bandy,4.0,8.098
985,dioxy,scurf,glave,7.0,15.089
986,lubra,windz,vetch,6.0,15.131
987,balks,foxed,mincy,5.0,10.755
988,updry,hajib,seqwl,8.0,16.508
989,amowt,junky,vergi,8.0,18.327
990,btise,junky,volar,5.0,9.909
991,bandi,pours,thewy,4.0,7.334
992,pucka,oxter,limns,3.0,7.251
993,sabik,dryth,clown,4.0,7.826
994,mutch,balks,rejig,4.0,8.998
995,wurly,sidth,gopak,4.0,7.979
996,grots,junky,chape,4.0,11.552
997,nerts,fixup,omlah,4.0,8.19
998,trixy,nowch,pause,4.0,9.741
999,budge,prowl,tanzy,5.0,12.309
